Concepto,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACTIVO,10756462,11166044,11792454,11725864,13117504,13229747,14387604,16375660,16393202,17652754,18876370,21003779,22992778,25342295,28343091,30205741,30072671,34501768,36366538,40088747,40724223
Activo circulante,1266687,1621849,2560526,2565867,2853150,3243708,3979997,3698653,2781979,3619650,3982304,3831830,4957820,3996764,5766837,6158822,8849216,7930683,7123297,6538476,6696408
Efectivo y equivalentes de efectivo,185778,389457,944480,860614,1294951,1617176,1691856,1480244,445300,1835010,1730208,1267821,2341906,425880,2219279,2718767,5030064,3535134,964221,662927,1379369
Cuentas por cobrar,815683,961032,1293266,1451676,1242316,1294421,1784773,1660290,1752747,1430745,1747442,1999512,1968472,2851557,2794107,2664519,3071626,3545261,5042155,4907423,4420415
Clientes - Neto,451708,454064,413783,598692,800601,986489,1249769,1139255,1401709,1289260,1641837,1685023,1810391,2158840,2254624,2309982,2139458,2740406,3599122,3653546,3804328
Impuestos por recuperar,130511,81558,96252,258522,144926,0,0,181764,205764,8939,4116,96354,7932,408334,19354,805,514088,466365,362719,177095,805
Partes relacionadas,0,0,518279,199951,270569,298657,525069,329096,135327,106572,89635,204303,132497,259954,497864,335689,402495,321266,1052867,1051691,592621
Compañias afiliadas ,79647,219403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otras,20329,12550,10590,9827,26220,9275,9935,10175,9947,25974,11854,13832,17652,24429,22265,18043,15585,17224,27447,25091,22661
Inventarios - Neto,249760,212912,227989,159216,208742,231778,389870,393146,375119,271914,329261,441427,478083,584286,591898,522522,591436,635070,744724,818791,625814
Pagos anticipados,15466,58448,94791,94361,107141,100333,113498,164973,208813,81981,175393,123070,169359,135041,161553,223014,15509,215218,372197,149335,270810
Cuenta por cobrar neta a otro ferrocarril ,133488,193457,254362,393654,468070,408714,321941,390811,391399,348620,313663,281506,310388,294263,273175,254320,0,0,0,0,0
"Inmuebles, maquinaria y equipo - Neto",7528089,7613325,7484928,7403078,8005959,7848601,8336084,9693921,10837531,11428902,12188249,14808083,16443710,19701597,20998656,22535976,23763932,25060298,27918783,30484233,31591542
Activos por derechos de uso - Neto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415889,1892171
Títulos de concesión - Neto,1752083,1764082,1591005,1530088,1560918,1488601,1471248,1455430,1384729,1314028,1243327,1172626,528610,494486,457150,423365,412018,372028,332038,292048,259042
