Concepto,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ingresos por servicios,1396612,1616167,1764327,1797006,1971123,2311741,1414854,2596877,2722269,2729536,2994912,3304640,3792749,4096819,4572157,4976502,5430862,5684531,6338234,6121257,6189117,5783871
Costos ,1029094,1212767,233199,1190961,1248944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilidad bruta,367518,403400,531128,606045,722179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directos,0,0,0,0,0,1518632,1559281,1664738,1835494,1898978,2114420,2404198,2648616,2857214,3079989,3303147,3682042,3754250,4366685,4516911,4174881,3784738
Participación de los trabajadores en las utilidades,0,0,0,0,0,0,0,0,0,0,0,0,0,31395,66081,103232,83465,127753,178313,76783,106459,79869
Depreciación,0,0,0,0,0,166585,189351,238897,258076,276577,257243,273041,279361,316055,342938,376603,427838,463850,517550,550676,854546,842787
Amortización de títulos de concesión,0,0,0,0,0,55515,55426,59148,60101,60100,60100,60100,60100,36474,36474,36474,36474,36717,39116,38998,37852,36533
Administración,0,0,0,0,0,110662,113767,204151,140050,130405,116231,142.06,150042,159121,188276,209733,224345,112204,111965,248385,242769,263546
Total costos y gastos de operación ,213018,113780,222307,226954,317543,1851394,1917825,2166934,2293721,2366060,2547994,2879401,3138119,3400259,3713758,4029189,4454164,4494774,5213629,5431753,5416507,5007473
Otros ingresos - Neto,0,0,0,0,0,0,0,62051,484,52365,-58119,12894,-28712,3225,6071,12985,2925,-67565,-43669,-9751,-15283,-10489
Participación de los trabajadores en las utilidades,0,0,0,0,0,0,0,0,17023,20452,12568,19886,22849,0,0,0,0,0,0,0,0,0
Participación de los trabajadores en las utilidades diferida,0,0,0,0,0,0,0,0,9297,-13876,16272,2762,25722,0,0,0,0,0,0,0,0,0
Total otros ingresos,0,0,0,0,0,0,0,0,26.8,58941,-29279,35542,19859,0,0,0,0,0,0,0,0,0
Utilidad de operación,154500,289620,308821,379091,404636,460347,497029,429943,428548,363476,446918,425239,65463,696560,858399,960298,979623,1257322,1168274,699255,787893,786887
Ingreso por inversión ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-364093,-4080,-246975,0,0,0,0,0
Intereses devengados a cargo / interés pagados,-489704,-398043,274523,152300,93056,85811,74066,158954,172518,172440,162690,133847,72143,41645,31073,20352,13888,17287,16128,5332,22460,23573
Intereses ganados,25922,15007,-9414,-4685,-2480,-2730,-5256,-12450,-16850,-37691,-43790,-42650,-25739,-29114,-36459,-42449,-12955,-23219,-33653,-25138,-22126,-41937
Pérdida (utilidad) en cambios - Neta,75310,65474,-91484,56207,140962,-10991,-89522,-58573,-3454,-36571,10167,20688,33934,-6660,5669,3507,14271,76753,-32181,4768,-34908,39480
Posición monetaria,325233,211443,-49485,-103834,-67704,-42397,-37888,-46508,45846,0,0,0,0,0,0,0,0,0,0,0,0,0
Total costo financiero,-63239,-106119,124140,99988,163834,29773,-58600,41423,106368,98178,129067,111885,80338,5871,-363810,-22670,-231771,70821,-49712,-15038,-34574,21116
Otros gastos,9190,5632,4579,6790,28127,13931,19734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participación en la utilidad de asociada y subsidiarias,0,0,0,0,0,0,0,0,53789,81324,58964,100357,110830,40016,40565,51073,44430,-36341,-41350,-159060,-83400,-112531
Utilidad antes de impuestos a la utilidad,82071,177869,180102,272313,212675,416643,535895,326469,349165,287681,406094,378169,665263,733930,1268845,1034041,1255824,1222842,1259336,873353,905867,878302
Impuestos a la utilidad,0,138366,33940,112559,30442,30706,219139,140603,114411,38109,178092,100648,206252,255671,260860,283108,263234,95730,90713,19534,166129,192307
Impuesto sobre la renta ,0,74542,30312,105302,24575,12298,180978,108729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participacion de los trabajadores en las utilidades ,0,0,3628,7257,5867,18408,38161,31874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilidad antes de participación en resultados de otras compañias ,82071,39503,0,0,182233,385937,316756,185866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganancia por participación en la utilidad de otras compañias ,3396,0,0,0,0,29770,26018,44440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilidad neta,85467,39503,148313,158161,182233,415707,342774,230306,234154,249572,228002,277521,459011,478252,1007985,750933,992590,1127112,1168623,853819,739738,685995
Valuación de instrumentos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,7415,1119,0,0,0,0,0,0,0
Impuesto sobre la renta diferido de instrumentos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,-2224,-336,0,0,0,0,0,0,0
Ganancia / pérdida actuarial,0,0,0,0,0,0,0,0,0,0,0,0,0,-1458,1769,-1876,1654,-1259,2676,-1971,4435,1072
Impuesto sobre la renta diferido por pérdida actuarial,0,0,0,0,0,0,0,0,0,0,0,0,0,437,-531,563,-496,378,-803,591,-1330,-322
Participacion en otros resultados integrales de subsidiarias ,0,0,-2151,1593,0,0,0,0,0,0,0,0,0,0,0,-1313,1158,0,0,-311,427,45
Resultado por cobertura de flujos de efectivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19525
Resultado integral,0,0,0,0,0,0,0,0,0,0,0,0,0,482429,1010006,749620,993748,1127993,1166750,855510,736206,665675
