Concepto,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACTIVO,4637507,3647627,4130308,4082990,4226785,4721448,4989252,5817542,6310120,6582927,6869096,7022069,7243618,6598115,7108509,7139551,7147291,7370310,7542220,7576378,8186689,8275015
Activo circulante,483717,318273,416831,388509,332474,388392,475667,753835,962057,1318136,1571007,1425794,1129431,1465730,1848719,1556208,1070941,1663164,1764158,1378410,1810612,1900545
Efectivo y equivalentes de efectivo,113525,47127,61618,20781,4726,20912,84512,331451,410366,663201,609194,666583,394561,861851,908291,591067,269966,842388,736098,319016,366042,605884
Cuentas por cobrar,325654,202974,324206,311641,268927,303848,299411,266177,378053,474658,835837,648218,531375,409203,784140,844209,669964,640659,867176,826404,1203269,1124842
Clientes - Neto,85743,183134,174285,152142,0,132739,151447,164529,172016,176732,183691,261534,259574,291602,307566,574406,501057,365231,753658,731387,875881,689065
Interlineal ,73294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impuestos por recuperar,155062,16919,36895,62651,0,79920,33270,58874,99016,29704,78280,102750,116204,31871,72650,13374,27568,90217,10117,37011,153016,12290
Cuenta por cobrar neta a otros ferrocarriles,0,0,105033,82792,0,84205,48074,6660,24672,19059,9878,4255,30898,27224,18014,1795,8327,18527,538,321,35,222
Partes relacionadas,0,0,0,0,0,805,60755,20264,80513,118135,458828,215815,76994,40335,384169,253356,126873,166241,97424,11019,162074,418554
Instrumentos financieros derivados ,0,0,0,0,0,0,0,0,0,128903,103185,60247,34427,7750,0,0,0,0,0,0,0,0
Deudores diversos,11555,2921,7993,14056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otras,0,0,0,0,0,6179,5865,15850,1836,2125,1975,3617,13278,10421,1741,1278,6139,443,5.44,46666,12263,4711
Inventarios - Neto,0,0,31007,56087,58821,52945,68093,127094,139830,119906,98290,90292,115409,113357,132977,94250,111060,138855,120594,163356,221673,148937
Pagos anticipados,0,0,0,0,0,10687,23651,29113,33808,60371,27686,20701,88086,81319,23311,26682,19951,41262,40290,69634,19628,20882
"Materiales, abastecimiento y refacciones ",44538,68172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activo a largo plazo,4153790,3329354,3713477,3694481,3894311,4333056,4513585,5063707,5348063,5264791,5298089,5596275,6114187,5132385,5259790,5583343,6076350,5707146,5778062,6197968,6376077,6374470
Partes relacionadas a largo plazo,0,0,0,0,0,0,0,0,49147,66797,58221,37917,36490,33962,34135,38420,44916,0,0,39901,32221,34107
Cuenta por cobrar a largo plazo ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224,6917,0,0,0
"Inmuebles, maquinaria y equipo - Neto",1423336,750039,780914,810337,750305,1462182,1752562,2197313,2343630,2313106,2415082,2729702,3234576,3356799,3504829,3849942,4363949,4280356,4361818,4584786,4486829,4749095
Activos por derecho de uso - Neto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418868,246363
Títulos de concesión - Neto,2386206,2136215,2307080,2258662,2298095,2438141,2385981,2427482,2462544,2402444,2342344,2282244,2222144,1311652,1275178,1238704,1202230,1172500,1133384,1094186,1056334,1020818
Inversión en acciones de subsidiarias y asociada,103688,95170,101635,95424,95641,144463,169455,240066,303268,310139,327305,408444,497786,366811,392939,414019,433448,223339,264689,478632,381587,324073
Impuesto sobre la renta diferido,0,32399,77004,14847,70003,60897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
