Concesionario,Año,Costos,Ingresos Totales,Utilidad de  Operación,Utilidad Neta,Pago Concesión + Inversion Total,Pago Concesión,Inv. Acum Total,"Inv. Acum Equipo, Infra. y Tel.",Inv. Acum. Tele. e Infra.
KCSM,1997,0,0,0,0,50982218.08,50982218.08,0,0,0
KCSM,1998,0,0,0,0,50982218.08,0,0,0,0
KCSM,1999,3700087,4996560,1296473,1075418,55192915.08,0,4210697,1389196,0
KCSM,2000,4393371,6062156,1668785,588115,55493501.08,0,4511283,1391232,0
KCSM,2001,5329238,6427991,1098753,1346086,56147413.08,0,5165195,1386344,0
KCSM,2002,5782754,6913550,1130796,-770823,56903684.78,0,5921466.7,3890217.99,2636455.87
KCSM,2003,6349116.33,7534993.4,1092387.02,-61044,57262292.37,0,6280074.29,4222906.74,3099513.69
KCSM,2004,6408696,8100813.09,1350507.2,25346,59669150.88,0,8686932.8,6161568,3226328
KCSM,2005,7165944.24,7819468.93,469692.16,88726,57206926.64,0,6224708.56,3786244,2794117.2
KCSM,2006,6489927,8457956,1968029,1137769,56704135.08,0,5721917,6757299,5226235
KCSM,2007,6547017,8886852,2339835,906336,58985255.08,0,8003037,8003037,6316634
KCSM,2008,6899428,9025800,2126372,-773784,61071267.08,0,10089049,7662544,5396549
KCSM,2009,6595179,8312485,1717306,831331,64289307.08,0,13307089,11852611,8574957
KCSM,2010,6798534,10008046,3209512,1660714,65298644.08,0,14316426,13398017,9852941
KCSM,2011,7369202,11612623,4423421,1223474,67972698.08,0,16990480,15993241,11122589
KCSM,2012,8431105,13404637,4973532,3885217,70628530.08,0,19646312,18992281,13375713
KCSM,2013,9031367,14033919,5002552,1908775,73349231.08,0,22367013,21855633,15004016
KCSM,2014,10263886,15998642,5734756,2702645,74954785.08,0,23972567,23972567,16510728
KCSM,2015,11726277,18546158,6819881,2202327,79514711.08,0,28532493,28532493,18667870
KCSM,2016,12524716,20951512,8426796,3022772,82669193.08,0,31686975,31686975,21632116
