Concesionario,Año,Infraestructura Acumulada,Inversión Anual en Infraestructura,Equipo Acumulada,Inversión Anual en Equipo,Telecomunicaciones Acumulada,Inversión Anual en Telecomunicaciones,Inv. Acum. Equipo Infra y Tele. ,Inversión Anual en Equipo Infra. y Tele.,Inversión Total Acumulada,Inversión Total Anual
KCSM,1999,0,0,1389196,1389196,0,0,0,1389196,4210697,4210697
KCSM,2000,0,0,1391232,2036,0,0,0,1391232,4511283,300586
KCSM,2001,0,0,1386344,-4888,0,0,0,1386344,5165195,653912
KCSM,2002,2636455.87,2636455.87,1253762.12,-132581.88,0,0,2636456,3890218,5921466.7,756271.7
KCSM,2003,3099513.69,463057.82,1123393.05,-130369.07,0,0,3099514,4222907,6280074.29,358607.59
KCSM,2004,3226328,126814.31,2935240,1811846.95,0,0,3226328,6161568,8686932.8,2406858.51
KCSM,2005,2794117.2,-432210.8,992126.8,-1943113.2,0,0,2794117,3786244,6224708.56,-2462224.24
KCSM,2006,5226235,2432117.8,1531064,538937.2,0,0,5226235,6757299,5721917,-502791.56
KCSM,2007,6316634,1090399,1686403,155339,0,0,6316634,8003037,8003037,2281120
KCSM,2008,5396549,-920085,2265995,579592,0,0,5396549,7662544,10089049,2086012
KCSM,2009,8342967,2946418,3277654,1011659,231990,231990,8574957,11852611,13307089,3218040
KCSM,2010,9586178,1243211,3545076,267422,266763,34773,9852941,13398017,14316426,1009337
KCSM,2011,10893494,1307316,4870652,1325576,229095,-37668,11122589,15993241,16990480,2674054
KCSM,2012,12996841,2103347,5616568,745916,378872,149777,13375713,18992281,19646312,2655832
KCSM,2013,14565147,1568306,6851617,1235049,438869,59997,15004016,21855633,22367013,2720701
KCSM,2014,15969918,1404771,7461839,610222,540810,101941,16510728,23972567,23972567,1605554
KCSM,2015,18099923,2130005,9864623,2402784,567947,27137,18667870,28532493,28532493,4559926
KCSM,2016,20829206,2729283,10054859,190236,802910,234963,21632116,31686975,31686975,3154482
KCSM,2017,23257931,2428725,10498017,443158,1137049,334139,24394980,34892997,34892997,3206022
KCSM,2018,23065162,-192769,11833367,1335350,1309973,172924,24375135,36208502,36208502,1315505
KCSM,2019,27850831,4785669,13036907,1203540,1531870,221897,29382701,42419608,42419608,6211106
KCSM,2020,29881703,2030872,12798935,-237972,1732539,200669,31614242,44413177,44413177,1993569
FERROMEX,1999,0,0,6054126,6054126,49666,49666,6103792,6103792,6909492,6909492
FERROMEX,2000,959293,959293,6370578,316452,234553,184887,7564424,1460632,8680082,1770590
FERROMEX,2001,1586056,626763,6389354,18776,441895,207342,8417305,852881,9903259,1223177
FERROMEX,2002,2354895,768839,5953273,-436081,534222,92327,8842390,425085,10234632,331373
FERROMEX,2003,2690804,335909,5940156,-13117,562761,28539,9193721,351331,10923944,689312
FERROMEX,2004,3292688,601884,5958826,18670,615954,53193,9867468,673747,11915594,991650
FERROMEX,2005,3879562,586874,5641328,-317498,691997,76043,10212887,345419,12569765,654171
FERROMEX,2006,4318825,439263,5444877,-196451,771083,79086,10534785,321898,13148696,578931
FERROMEX,2007,5342662,1023837,4936227,-508650,818913,47830,11097802,563017,14040610,891914
FERROMEX,2008,6350140,1007478,5195634,259407,967783,148870,12513557,1415755,15660272,1619662
FERROMEX,2009,7121500,771360,5058019,-137615,1043206,75423,13222725,709168,16611293,951021
FERROMEX,2010,7905546,784046,5111620,53601,1052349,9143,14069515,846790,17721094,1109801
FERROMEX,2011,9070762,1165216,6321056,1209436,1132144,79795,16523962,2454447,23027479,5306385
