Concesionario,Año,Infraestructura Acumulada,Inversión Anual en Infraestructura,Equipo Acumulada,Inversión Anual en Equipo,Telecomunicaciones Acumulada,Inversión Anual en Telecomunicaciones,Inv. Acum. Equipo Infra y Tele. ,Inversión Anual en Equipo Infra. y Tele.,Inversión Total Acumulada,Inversión Total Anual
KCSM,1999, -   , -   ," 1,389,196.00 "," 1,389,196.00 ", -   , -   ," 1,389,196.00 "," 1,389,196.00 "," 4,210,697.00 "," 4,210,697.00 "
KCSM,2000, -   , -   ," 1,391,232.00 "," 2,036.00 ", -   , -   ," 1,391,232.00 "," 2,036.00 "," 4,511,283.00 "," 300,586.00 "
KCSM,2001, -   , -   ," 1,386,344.00 ","-4,888.00 ", -   , -   ," 1,386,344.00 ","-4,888.00 "," 5,165,195.00 "," 653,912.00 "
KCSM,2002," 2,636,455.87 "," 2,636,455.87 "," 1,253,762.12 ","-132,581.88 ", -   , -   ," 3,890,217.99 "," 2,503,873.99 "," 5,921,466.70 "," 756,271.70 "
KCSM,2003," 3,099,513.69 "," 463,057.82 "," 1,123,393.05 ","-130,369.07 ", -   , -   ," 4,222,906.74 "," 332,688.75 "," 6,280,074.29 "," 358,607.59 "
KCSM,2004," 3,226,328.00 "," 126,814.31 "," 2,935,240.00 "," 1,811,846.95 ", -   , -   ," 6,161,568.00 "," 1,938,661.26 "," 8,686,932.80 "," 2,406,858.51 "
KCSM,2005," 2,794,117.20 ","-432,210.80 "," 992,126.80 ","-1,943,113.20 ", -   , -   ," 3,786,244.00 ","-2,375,324.00 "," 6,224,708.56 ","-2,462,224.24 "
KCSM,2006," 5,226,235.00 "," 2,432,117.80 "," 1,531,064.00 "," 538,937.20 ", -   , -   ," 6,757,299.00 "," 2,971,055.00 "," 5,721,917.00 ","-502,791.56 "
KCSM,2007," 6,316,634.00 "," 1,090,399.00 "," 1,686,403.00 "," 155,339.00 ", -   , -   ," 8,003,037.00 "," 1,245,738.00 "," 8,003,037.00 "," 2,281,120.00 "
KCSM,2008," 5,396,549.00 ","-920,085.00 "," 2,265,995.00 "," 579,592.00 ", -   , -   ," 7,662,544.00 ","-340,493.00 "," 10,089,049.00 "," 2,086,012.00 "
KCSM,2009," 8,342,967.00 "," 2,946,418.00 "," 3,277,654.00 "," 1,011,659.00 "," 231,990.00 "," 231,990.00 "," 11,852,611.00 "," 4,190,067.00 "," 13,307,089.00 "," 3,218,040.00 "
KCSM,2010," 9,586,178.00 "," 1,243,211.00 "," 3,545,076.00 "," 267,422.00 "," 266,763.00 "," 34,773.00 "," 13,398,017.00 "," 1,545,406.00 "," 14,316,426.00 "," 1,009,337.00 "
KCSM,2011," 10,893,494.00 "," 1,307,316.00 "," 4,870,652.00 "," 1,325,576.00 "," 229,095.00 ","-37,668.00 "," 15,993,241.00 "," 2,595,224.00 "," 16,990,480.00 "," 2,674,054.00 "
