Concepto,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACTIVO,22182677,22613576,24090677,23997742,2728149,2183226,2369494,26226219,21788882,23929121,24919213,24439980,26865661,27910374,32073388,36658209,38484201,43654878,47054231,47326790,52594490,56562539
Activo circulante,1210624,1761499,2766128,4627676,225714,252632,216958,6020721,5120187,3154982,3248282,2688228,2910106,3462974,6038910,7839681,4942636,7528518,8393912,6401560,7108279,6771781
Efectivo y equivalentes de efectivo,103547,317042,369449,308187,3569,14218,7146,155452,181337,523127,1208945,454731,209986,86157,2902893,4537146,1037103,2618159,2038017,239618,195428,1352183
"Cuentas por cobrar, neto ",408418,641099,820608,805548,101595,106014,137610,1665598,1200842,892653,878820,1013561,1128671,1292443,1355934,1330940,1628404,1971440,2914912,3075437,2840767,2594937
Compañias relacionadas,0,0,0,0,0,31569,35843,3262193,3353134,0,0,0,0,0,0,0,0,0,0,0,0,0
Otras cuentas por cobrar ,460503,514724,632578,795412,34046,72057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Materiales y accesorios,155350,167280,167551,141926,16693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Partes relacionadas ,0,37133,687986,2457071,5410,0,0,0,0,1355250,628661,5331,92832,626035,261539,276616,34,7863,751468,381020,788049,1119036
"Inventarios, neto ",0,0,0,0,0,21738,18746,251999,334793,310836,466539,435196,459306,422932,486150,394643,662132,796296,958895,1113606,1095624,922583
Pagos anticipados ,0,0,0,0,0,0,0,0,0,0,0,411222,597126,649155,564287,665386,403552,126229,121282,115497,120384,97095
Impuestos por  recuperar ,0,0,0,0,51244,0,0,0,0,0,0,0,0,0,0,634950,1211411,1825817,1576818,1144903,1587834,368059
Otros activos circulantes,82806,84221,87956,119532,13157,7036,17613,685479,50081,73116,65317,368187,422185,386252,468107,0,0,182714,332520,331479,480193,317888
Activo no circulante,20972053,20852077,21324549,19370066,2502435,1930594,2152536,20205498,16668695,20774139,21670931,21751752,23955555,24447400,26034478,28818528,33541565,36126360,38660319,40925230,45486211,49790758
Deuda del Gobierno Mexicano,0,0,751728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuentas por cobrar a largo plazo,0,0,0,14511,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activos por derecho de uso ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838399,742959
Inversiones  en acciones de subsidiarias y asociada ,56526,56384,47802,-145097,8020,8060,37992,0,0,1172587,1116466,1020780,1088813,1228407,1608235,3084616,3590521,4095630,4505002,4870760,5214639,5812567
"Derechos de concesión  y activos relacionados, neto ",10344444,9883845,9479697,9154523,1124182,1082034,1319848,7763147,7750267,7371618,7115613,6908645,6702254,6272830,5995455,5695046,5436502,5004499,4985886,4105149,4633050,4323969
"Propiedad,  maquinaria y equipo, neto ",3883915,4111024,4394347,3568794,632431,558669,593364,5159276,7437501,10096332,11092468,11913721,14137248,16312948,18275464,19750437,23435177,25762434,28048739,31348624,34148252,35808276
Asociación en participación y cuentas por cobrar a Grupo TFM ,5365540,5376522,5345527,5432445,661116,0,0,4722700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compañias relacionadas,0,0,0,0,0,0,0,732197,41433,0,0,0,0,0,0,0,0,0,0,0,0,0
IVA por cobrar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606492
Cargos diferidos,0,0,0,0,0,24573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impuestos a la utilidad diferidos,0,0,0,0,0,0,0,0,0,0,0,1052312,580215,0,0,0,0,0,0,0,0,0
